pearson_r_cam_vs_cold,high_cam_px,iou_vs_coldest,iou_expected_by_chance,cam_peak_row,cam_peak_col,coldest_row,coldest_col,peak_to_coldest_dist_px,storm_id,storm_name,timestamp,wind_kt,is_interpolated,wind_now,wind_24h_ago,delta24_kt,is_RI
0.1192027635249284,30993,0.5420553772669602,0.4468490030133076,169,168,98,116,88.0056816347672,AL022024,BERYL,2024-07-04 10:00:00+00:00,98.33333333333331,True,98.33333333333331,125.0,-26.666666666666686,False
0.0776513911791792,35076,0.6361219301723535,0.5373491022734236,171,167,68,170,103.04368005850722,AL022024,BERYL,2024-07-04 11:00:00+00:00,96.66666666666669,True,96.66666666666669,125.0,-28.333333333333314,False
0.7218476252873975,21209,0.5632209323751612,0.2679832707883199,113,116,99,104,18.43908891458577,AL022024,BERYL,2024-07-04 22:00:00+00:00,96.66666666666669,True,96.66666666666669,116.66666666666669,-20.0,False
0.310576630695656,27356,0.4914810675244663,0.3747602608362102,52,174,104,105,86.40023148117139,AL022024,BERYL,2024-07-04 23:00:00+00:00,98.33333333333331,True,98.33333333333331,115.83333333333331,-17.5,False
0.514010445116367,28485,0.5672196088140629,0.3963571597534334,53,173,53,195,22.0,AL022024,BERYL,2024-07-05 00:00:00+00:00,100.0,False,100.0,115.0,-15.0,False
0.3891023745548829,26634,0.5,0.361295748663827,46,170,100,107,82.97590011563598,AL022024,BERYL,2024-07-05 01:00:00+00:00,99.16666666666669,True,99.16666666666669,113.33333333333331,-14.166666666666629,False
0.3899894774180752,26816,0.5306809749414921,0.3646649260226284,0,141,101,109,105.94810050208544,AL022024,BERYL,2024-07-05 02:00:00+00:00,98.33333333333331,True,98.33333333333331,111.66666666666669,-13.333333333333371,False
0.2411537514197437,31302,0.6137963034568092,0.4533236784938451,0,147,100,109,106.97663296253066,AL022024,BERYL,2024-07-05 03:00:00+00:00,97.5,True,97.5,110.0,-12.5,False
-0.1435132028073591,18055,0.1592667501364409,0.2193883130612294,174,170,96,114,96.02083107326244,AL022024,BERYL,2024-07-05 04:00:00+00:00,96.66666666666669,True,96.66666666666669,108.33333333333331,-11.666666666666629,False
0.5875515239761242,18057,0.4186832181018227,0.2194179476274379,118,120,117,105,15.033296378372908,AL132023,LEE,2023-09-07 16:00:00+00:00,98.33333333333331,True,98.33333333333331,63.333333333333336,34.99999999999998,True
0.5502265962738757,16921,0.5040888888888889,0.2028143016384797,118,127,115,102,25.179356624028344,AL132023,LEE,2023-09-07 17:00:00+00:00,101.66666666666669,True,101.66666666666669,64.16666666666667,37.500000000000014,True
0.6307901547217628,16262,0.5529029793735676,0.193388036627423,131,133,165,105,44.04543109109048,AL132023,LEE,2023-09-07 18:00:00+00:00,105.0,False,105.0,65.0,40.0,True
0.6621968838812475,14095,0.6289148272275511,0.163407027835422,123,132,168,110,50.08991914547278,AL132023,LEE,2023-09-07 19:00:00+00:00,110.0,True,110.0,65.83333333333333,44.16666666666667,True
0.6438942104612654,13187,0.5418883367436422,0.1512877875293982,114,126,124,125,10.04987562112089,AL132023,LEE,2023-09-07 20:00:00+00:00,115.0,True,115.0,66.66666666666667,48.33333333333333,True
0.6424787320133283,11899,0.6439624205581652,0.1345234192169852,114,131,143,142,31.016124838541646,AL132023,LEE,2023-09-07 21:00:00+00:00,120.0,True,120.0,67.5,52.5,True
0.6429036462451702,12234,0.5579751671442216,0.1388365600671826,114,125,154,70,68.00735254367721,AL132023,LEE,2023-09-07 22:00:00+00:00,125.0,True,125.0,68.33333333333333,56.66666666666667,True
0.6163050234309628,11921,0.5647437159545843,0.1348056676957175,120,122,118,101,21.095023109728988,AL132023,LEE,2023-09-07 23:00:00+00:00,130.0,True,130.0,69.16666666666667,60.83333333333333,True
